nom_cours,id_prof,nom_prof,prenom_prof,etablissement,annee,id_cours
acquisition modelisation/representation,Ons_AOUINA,AOUINA,Ons,Inalco,2024-2025,acquisition_modelisation_representation_2024_2025
actualite dans le monde anglophone,,,,SorbonneNouvelle,2024-2025,actualite_dans_le_monde_anglophone_2024_2025
anglais de specialite 2,Loulou_KOSMALA,KOSMALA,Loulou,Nanterre,2023-2024,anglais_de_specialite_2_2023_2024
anglais pro,Christophe_HUP,HUP,Christophe,Nanterre,2024-2025,anglais_pro_2024_2025
annotations semantiques et applications en recherche d'information,Delphine_BATTISTELLI,BATTISTELLI,Delphine,Nanterre,2024-2025,annotations_semantiques_et_applications_en_recherche_d_information_2024_2025
apprentissage automatique,Loïc_GROBOL,GROBOL,Loïc,Nanterre,2024-2025,apprentissage_automatique_2024_2025
arbres graphes,Loïc_GROBOL,GROBOL,Loïc,Nanterre,2024-2025,arbres_graphes_2024_2025
bases de donnees pour linguistes,Iris_ESHKOL-TARAVELLA,ESHKOL-TARAVELLA,Iris,Nanterre,2023-2024,bases_de_donnees_pour_linguistes_2023_2024
calculabilite,Patrick_PAROUBECK,PAROUBECK,Patrick,Inalco,2024-2025,calculabilite_2024_2025
changements linguistiques,"['Sabine_LEHMANN', 'Vanessa_PICCOLI']","['LEHMANN', 'PICCOLI']","['Sabine', 'Vanessa']",Nanterre,2023-2024,changements_linguistiques_2023_2024
cnn,Cedric_GENDROT,GENDROT,Cedric,SorbonneNouvelle,2024-2025,cnn_2024_2025
conduite de projet de traduction 1,Sophie_GAUMET,GAUMET,Sophie,Inalco,2024-2025,conduite_de_projet_de_traduction_1_2024_2025
coreen,Kyung_LEE,LEE,Kyung,Inalco,2023-2024,coreen_2023_2024
corpus arbores et parsing,Santiago_HERRERA,HERRERA,Santiago,Nanterre,2023-2024,corpus_arbores_et_parsing_2023_2024
corpus paralleles et comparables,Pierre_ZWEIGENBAUM,ZWEIGENBAUM,Pierre,Inalco,2023-2024,corpus_paralleles_et_comparables_2023_2024
de la modelisation au traitement automatique des donnees linguistiques,Iris_ESHKOL-TARAVELLA,ESHKOL-TARAVELLA,Iris,Nanterre,2024-2025,de_la_modelisation_au_traitement_automatique_des_donnees_linguistiques_2024_2025
document structure,Michel_JACOBSON,JACOBSON,Michel,SorbonneNouvelle,2023-2024,document_structure_2023_2024
documents structures,Rim_ABROUGUI,ABROUGUI,Rim,Inalco,2024-2025,documents_structures_2024_2025
enrichissement de corpus,Iris_ESHKOL-TARAVELLA,ESHKOL-TARAVELLA,Iris,Nanterre,2023-2024,enrichissement_de_corpus_2023_2024
extraction d'informations,Chloé_MONNIN-TUILLIER,MONNIN-TUILLIER,Chloé,Inalco,2023-2024,extraction_d_informations_2023_2024
fouille de textes 1,Cyril_GROUIN,GROUIN,Cyril,Inalco,2024-2025,fouille_de_textes_1_2024_2025
genres textes et usages,Mathieu_VALETTE,VALETTE,Mathieu,Inalco,2024-2025,genres_textes_et_usages_2024_2025
gest. info multilinguisme,Ilaine_WANG,WANG,Ilaine,Inalco,2023-2024,gest__info_multilinguisme_2023_2024
gestion de projets,Benoît_CARCENAC,CARCENAC,Benoît,Nanterre,2024-2025,gestion_de_projets_2024_2025
ingenierie des connaissances,"['Delphine_BATTISTELLI', 'Iris_ESHKOL-TARAVELLA']","['BATTISTELLI', 'ESHKOL-TARAVELLA']","['Delphine', 'Iris']",Nanterre,2024-2025,ingenierie_des_connaissances_2024_2025
